species,common_name,family,region,venom_type,toxicity_level,antivenom_available,conservation_status,habitat,avg_length,max_length,image_path,venomous
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_51.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_50.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_44.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_78.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_87.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_93.png,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_91.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_85.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_52.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_46.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_47.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_53.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_84.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_90.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_80.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_43.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_42.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_56.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_81.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_83.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_40.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_54.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_68.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_55.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_41.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_82.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_96.jpeg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_64.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_71.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_65.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_59.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_95.jpeg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_73.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_67.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_66.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_72.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_89.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_76.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_62.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_63.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_77.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_88.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_94.jpeg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_61.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_75.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_49.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_48.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_74.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_13.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_12.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_38.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_10.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_11.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_39.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_15.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_29.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_28.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_14.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_16.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_8.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_9.jpg,True
Ophiophagus hannah,King Cobra,Elapidae,"Western Ghats, Northeast",Neurotoxic,Extremely toxic,Yes,Vulnerable,Dense forests,300,550,data/raw_images/Venomous/King Cobra/King_17.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_16.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_17.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_15.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_14.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_28.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_10.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_38.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_39.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_11.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_9.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_13.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_12.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_8.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_49.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_75.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_61.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_74.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_48.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_76.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_89.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_88.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_77.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_101.jpeg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_100.jpeg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_67.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_73.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_98.png,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_70.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_64.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_59.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_65.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_68.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_54.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_40.JPG,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_83.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_97.png,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_96.png,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_82.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_55.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_69.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_43.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_57.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_80.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_94.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_95.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_81.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_56.jpg,True
Naja kaouthia,Monocled Cobra,Elapidae,North-East India,"Neurotoxic, Cytotoxic",Extremely toxic,Yes,Least Concern,Agricultural lands,150,230,data/raw_images/Venomous/Monocled Cobra/Monocled_42.jpg,True
